instance 	 n 	 Gamma 	 status 	 objbound 	 objval 	 mipgap 	 runtime 
1 	 10 	 3 	 2 	 4503.00 	 4503.00 	 0.00 	 0.08 
1 	 10 	 5 	 2 	 5013.00 	 5013.00 	 0.00 	 0.01 
1 	 10 	 7 	 2 	 5369.00 	 5369.00 	 0.00 	 0.00 
2 	 10 	 3 	 2 	 3583.00 	 3583.00 	 0.00 	 0.04 
2 	 10 	 5 	 2 	 4424.83 	 4425.00 	 0.00 	 0.03 
2 	 10 	 7 	 2 	 4847.00 	 4847.00 	 0.00 	 0.01 
3 	 10 	 3 	 2 	 4530.00 	 4530.00 	 0.00 	 0.03 
3 	 10 	 5 	 2 	 5379.00 	 5379.00 	 0.00 	 0.11 
3 	 10 	 7 	 2 	 5953.50 	 5954.00 	 0.00 	 0.08 
4 	 10 	 3 	 2 	 4380.83 	 4381.00 	 0.00 	 0.04 
4 	 10 	 5 	 2 	 5073.00 	 5073.00 	 0.00 	 0.06 
4 	 10 	 7 	 2 	 5640.00 	 5640.00 	 0.00 	 0.03 
5 	 10 	 3 	 2 	 4779.00 	 4779.00 	 0.00 	 0.07 
5 	 10 	 5 	 2 	 5687.00 	 5687.00 	 0.00 	 0.15 
5 	 10 	 7 	 2 	 6341.38 	 6342.00 	 0.00 	 0.02 
6 	 10 	 3 	 2 	 5603.00 	 5603.00 	 0.00 	 0.09 
6 	 10 	 5 	 2 	 6028.00 	 6028.00 	 0.00 	 0.02 
6 	 10 	 7 	 2 	 6327.00 	 6327.00 	 0.00 	 0.01 
7 	 10 	 3 	 2 	 4708.00 	 4708.00 	 0.00 	 0.03 
7 	 10 	 5 	 2 	 5371.00 	 5371.00 	 0.00 	 0.08 
7 	 10 	 7 	 2 	 5832.00 	 5832.00 	 0.00 	 0.02 
8 	 10 	 3 	 2 	 3948.00 	 3948.00 	 0.00 	 0.02 
8 	 10 	 5 	 2 	 4801.69 	 4802.00 	 0.00 	 0.03 
8 	 10 	 7 	 2 	 5352.52 	 5353.00 	 0.00 	 0.04 
9 	 10 	 3 	 2 	 3975.00 	 3975.00 	 0.00 	 0.05 
9 	 10 	 5 	 2 	 4503.57 	 4504.00 	 0.00 	 0.08 
9 	 10 	 7 	 2 	 4939.00 	 4939.00 	 0.00 	 0.03 
10 	 10 	 3 	 2 	 2496.00 	 2496.00 	 0.00 	 0.04 
10 	 10 	 5 	 2 	 3108.00 	 3108.00 	 0.00 	 0.01 
10 	 10 	 7 	 2 	 3577.00 	 3577.00 	 0.00 	 0.00 
11 	 10 	 3 	 2 	 3938.00 	 3938.00 	 0.00 	 0.12 
11 	 10 	 5 	 2 	 4704.00 	 4704.00 	 0.00 	 0.14 
11 	 10 	 7 	 2 	 5249.00 	 5249.00 	 0.00 	 0.03 
12 	 10 	 3 	 2 	 3489.00 	 3489.00 	 0.00 	 0.06 
12 	 10 	 5 	 2 	 4030.00 	 4030.00 	 0.00 	 0.02 
12 	 10 	 7 	 2 	 4398.00 	 4398.00 	 0.00 	 0.00 
13 	 10 	 3 	 2 	 4663.00 	 4663.00 	 0.00 	 0.13 
13 	 10 	 5 	 2 	 5646.00 	 5646.00 	 0.00 	 0.22 
13 	 10 	 7 	 2 	 6333.00 	 6333.00 	 0.00 	 0.21 
14 	 10 	 3 	 2 	 3083.00 	 3083.00 	 0.00 	 0.00 
14 	 10 	 5 	 2 	 3331.00 	 3331.00 	 0.00 	 0.01 
14 	 10 	 7 	 2 	 3520.00 	 3520.00 	 0.00 	 0.00 
15 	 10 	 3 	 2 	 4782.00 	 4782.00 	 0.00 	 0.03 
15 	 10 	 5 	 2 	 5223.00 	 5223.00 	 0.00 	 0.02 
15 	 10 	 7 	 2 	 5551.00 	 5551.00 	 0.00 	 0.00 
16 	 10 	 3 	 2 	 3469.00 	 3469.00 	 0.00 	 0.02 
16 	 10 	 5 	 2 	 4048.00 	 4048.00 	 0.00 	 0.03 
16 	 10 	 7 	 2 	 4465.64 	 4466.00 	 0.00 	 0.01 
17 	 10 	 3 	 2 	 4064.00 	 4064.00 	 0.00 	 0.02 
17 	 10 	 5 	 2 	 4484.00 	 4484.00 	 0.00 	 0.01 
17 	 10 	 7 	 2 	 4817.00 	 4817.00 	 0.00 	 0.00 
18 	 10 	 3 	 2 	 4525.00 	 4525.00 	 0.00 	 0.09 
18 	 10 	 5 	 2 	 5232.00 	 5232.00 	 0.00 	 0.05 
18 	 10 	 7 	 2 	 5839.00 	 5839.00 	 0.00 	 0.03 
19 	 10 	 3 	 2 	 2693.00 	 2693.00 	 0.00 	 0.02 
19 	 10 	 5 	 2 	 3284.00 	 3284.00 	 0.00 	 0.01 
19 	 10 	 7 	 2 	 3684.00 	 3684.00 	 0.00 	 0.01 
20 	 10 	 3 	 2 	 2606.00 	 2606.00 	 0.00 	 0.01 
20 	 10 	 5 	 2 	 3184.77 	 3185.00 	 0.00 	 0.02 
20 	 10 	 7 	 2 	 3557.00 	 3557.00 	 0.00 	 0.01 
1 	 15 	 3 	 2 	 8226.00 	 8226.00 	 0.00 	 0.14 
1 	 15 	 5 	 2 	 9483.00 	 9483.00 	 0.00 	 0.37 
1 	 15 	 7 	 2 	 10419.00 	 10419.00 	 0.00 	 0.35 
2 	 15 	 3 	 2 	 7129.00 	 7129.00 	 0.00 	 0.32 
2 	 15 	 5 	 2 	 8457.00 	 8457.00 	 0.00 	 0.55 
2 	 15 	 7 	 2 	 9536.00 	 9536.00 	 0.00 	 0.91 
3 	 15 	 3 	 2 	 7895.56 	 7896.00 	 0.00 	 0.22 
3 	 15 	 5 	 2 	 9153.00 	 9153.00 	 0.00 	 0.58 
3 	 15 	 7 	 2 	 10226.00 	 10226.00 	 0.00 	 0.74 
4 	 15 	 3 	 2 	 10647.00 	 10647.00 	 0.00 	 0.28 
4 	 15 	 5 	 2 	 11740.48 	 11741.00 	 0.00 	 1.66 
4 	 15 	 7 	 2 	 12469.00 	 12469.00 	 0.00 	 0.33 
5 	 15 	 3 	 2 	 8015.85 	 8016.00 	 0.00 	 0.04 
5 	 15 	 5 	 2 	 9285.11 	 9286.00 	 0.00 	 0.17 
5 	 15 	 7 	 2 	 10298.00 	 10298.00 	 0.00 	 0.35 
6 	 15 	 3 	 2 	 7750.00 	 7750.00 	 0.00 	 0.11 
6 	 15 	 5 	 2 	 8719.00 	 8719.00 	 0.00 	 0.64 
